beta	<e>	<m>	<|m|>
0.0000000	-0.5000000	0.5000000	0.5000000
0.0500000	-0.5602217	0.5262730	0.5262730
0.1000000	-0.6289094	0.5551525	0.5551525
0.1500000	-0.7066485	0.5866325	0.5866325
0.2000000	-0.7935802	0.6205264	0.6205264
0.2500000	-0.8891524	0.6564066	0.6564066
0.3000000	-0.9919013	0.6935687	0.6935687
0.3500000	-1.0993737	0.7310520	0.7310520
0.4000000	-1.2082902	0.7677346	0.7677346
0.4500000	-1.3149743	0.8024935	0.8024935
0.5000000	-1.4159359	0.8343822	0.8343822
0.5500000	-1.5084089	0.8627632	0.8627632
0.6000000	-1.5906633	0.8873548	0.8873548
0.6500000	-1.6620335	0.9081934	0.9081934
0.7000000	-1.7227294	0.9255453	0.9255453
0.7500000	-1.7735530	0.9398065	0.9398065
0.8000000	-1.8156225	0.9514201	0.9514201
0.8500000	-1.8501603	0.9608203	0.9608203
0.9000000	-1.8783554	0.9684006	0.9684006
0.9500000	-1.9012879	0.9745013	0.9745013
