beta	<e>	<m>	<|m|>
0.0000000	-0.5000000	0.5000000	0.5000000
0.0500000	-0.5663296	0.5262564	0.5262564
0.1000000	-0.6405467	0.5550140	0.5550140
0.1500000	-0.7227228	0.5861516	0.5861516
0.2000000	-0.8124478	0.6193795	0.6193795
0.2500000	-0.9087051	0.6542141	0.6542141
0.3000000	-1.0098191	0.6899793	0.6899793
0.3500000	-1.1135182	0.7258470	0.7258470
0.4000000	-1.2171309	0.7609150	0.7609150
0.4500000	-1.3178844	0.7943092	0.7943092
0.5000000	-1.4132375	0.8252861	0.8252861
0.5500000	-1.5011624	0.8533082	0.8533082
0.6000000	-1.5803104	0.8780774	0.8780774
0.6500000	-1.6500421	0.8995253	0.8995253
0.7000000	-1.7103441	0.9177715	0.9177715
0.7500000	-1.7616811	0.9330665	0.9330665
0.8000000	-1.8048283	0.9457357	0.9457357
0.8500000	-1.8407222	0.9561322	0.9561322
0.9000000	-1.8703441	0.9646033	0.9646033
0.9500000	-1.8946418	0.9714698	0.9714698
